	hashtag	time_(s)
0	#bnk48	10
1	#punbnk48	10
2	#jennisbnk…rt	10
3	#bnk48	10
4	#punbnk48	10
5	#bnk48	10
6	#cherprangbnk48	10
7	#bnk48	10
8	#jennisbnk48	10
9	#bnk48	10
10	#photoset	10
11	#bnk48	10
12	#cherprangbnk48	10
13	#musicbnk48	10
14	#cherprangbnk48	10
15	#bnk48	10
16	#valentinemyoshi	10
17	#bnk48	10
18	#jennisbnk48	10
19	#punbnk48	10
20	#bnk48	10
21	#bnk48	10
0	#bnk48	20
1	#ปัญเจนนิษฐ์	20
2	#bnk48	20
3	#punbnk48	20
4	#jennisbnk48	20
5	#myvatentine…rt	20
6	#punbnk48	20
7	#bnk48	20
8	#cherprangbnk48	20
9	#bnk48	20
10	#janbnk48	20
11	#bnk48	20
12	#punbnk48	20
13	#bnk48	20
14	#bnk48fanart	20
0	#bnk48	30
1	#pupebnk48	30
2	#musicbnk48	30
3	#punbnk48	30
4	#jennisbnk48	30
5	#kaimookbnk48	30
6	#mobilebnk48…rt	30
7	#musicbnk48	30
8	#punbnk48	30
9	#cherprangbnk48	30
10	#bnk48	30
0	#อรอุ๋ง	40
1	#ornbnk48	40
2	#bnk48	40
3	#jennisbnk48	40
4	#bnk48	40
5	#bnk48	40
6	#jennisbnk48	40
7	#mobilebnk48	40
8	#cherprangbnk48	40
9	#bnk48	40
10	#bnk48	40
11	#	40
0	#bnk48	50
1	#cherprangbnk48	50
2	#namneungbnk48	50
3	#kaewbnk48	50
4	#cherprangbnk48	50
5	#bnk48	50
6	#สามแยกปากหวาน	50
7	#punbnk48	50
8	#bnk48	50
9	#อรอุ๋ง	50
10	#ornbnk48	50
11	#bnk48	50
0	#namsaibnk48	60
1	#janebnk48	60
2	#satchanbnk48	60
3	#bnk48	60
4	#bnk48	60
5	#cherprangbnk48	60
6	#bnk48	60
7	#เฌอสิค	60
8	#bnk48	60
9	#cherprangbnk48	60
10	#musicbnk48	60
11	#punbnk48	60
12	#bnk48	60
13	#truepoint	60
14	#bnk48xtrue	60
15	#trueyou	60
16	#tru…	60
0	#namneungbnk48	71
1	#noeybnk48	71
2	#mobilebnk48	71
3	#bnk48	71
4	#สามแยกปากหวาน	71
5	#mymilintine	71
6	#bnk48	71
7	#namneungbnk48	71
8	#bnk48	71
9	#true…rt	71
10	#bnk48	71
11	#namhombnk48	71
12	#bnk48	71
13	#punbnk48	71
0	#bnk48	81
1	#musicbnk48	81
2	#bnk48	81
3	#musicbnk48	81
4	#mobilebnk48	81
5	#kaimookbnk48	81
6	#jennisbnk48	81
7	#punbnk48	81
8	#pupebnk48	81
9	#bn…rt	81
0	#ornbnk48	91
1	#bnk48	91
2	#punbnk48	91
3	#bnk48	91
4	#punbnk48	91
5	#jennisbnk48	91
6	#mobilebnk48	91
